1	7
2	9
3	8
4	3
5	8
6	6
7	8
8	9
9	9
10	9
11	6
12	9
13	4
14	9
15	5
16	9
17	8
18	9
19	5
20	9
21	8
22	8
23	9
24	7
25	9
26	9
27	9
28	5
29	5
30	9
31	7
32	9
33	9
34	9
35	8
36	9
37	9
38	9
39	8
40	8
41	9
42	9
43	6
44	9
45	9
46	8
47	9
48	7
49	8
50	4
51	9
52	9
53	9
54	7
55	9
56	4
57	9
58	8
59	7
60	7
61	8
62	7
63	9
64	6
65	8
66	9
67	8
68	9
69	9
70	9
71	7
72	9
73	9
74	6
75	7
76	9
77	9
78	9
79	9
80	7
81	4
82	6
83	7
84	9
85	9
86	6
87	9
88	8
89	7
90	9
91	9
92	7
93	9
94	8
95	8
96	7
97	9
98	9
99	7
100	9
101	6
102	7
103	9
104	9
105	9
106	7
107	8
108	8
109	5
110	9
111	9
112	8
113	8
114	7
115	9
116	7
117	9
118	6
119	6
120	9
121	7
122	9
123	7
124	9
125	6
126	8
127	8
128	7
129	8
130	8
131	9
132	5
133	9
134	8
135	7
136	8
137	9
138	8
139	8
140	9
141	9
142	8
143	7
144	6
145	6
146	7
147	9
148	9
149	9
150	7
151	8
152	9
153	8
154	9
155	9
156	9
157	8
158	9
159	3
160	9
161	9
162	8
163	7
164	7
165	9
166	8
167	9
168	8
169	8
170	8
171	9
172	8
173	9
174	9
175	9
176	9
177	8
178	9
179	9
180	8
181	9
182	8
183	9
184	9
185	8
186	8
187	9
188	7
189	9
190	8
191	9
192	7
193	8
194	6
195	8
196	6
197	8
198	9
199	9
200	9
201	9
202	9
203	9
204	9
205	9
206	6
207	7
208	9
209	7
210	7
211	9
212	9
213	9
214	9
215	8
216	9
217	8
218	8
219	9
220	9
221	9
222	9
223	8
224	8
225	9
226	8
227	8
228	5
229	9
230	9
231	3
232	9
233	6
234	8
235	9
236	9
237	8
238	9
239	9
240	8
241	9
242	8
243	9
244	9
245	9
246	9
247	9
248	7
249	1
250	7
251	5
252	7
253	8
254	8
255	6
256	8
257	9
258	4
259	8
260	9
261	9
262	6
263	8
264	8
265	7
266	8
267	9
268	9
269	9
270	9
271	9
272	9
273	6
274	9
275	8
276	9
277	7
278	9
279	9
280	5
281	9
282	5
283	8
284	9
285	9
286	7
287	9
288	9
289	8
290	8
291	9
292	9
293	9
294	8
295	5
296	6
297	9
298	8
299	9
300	9
301	9
302	9
303	8
304	5
305	8
306	6
307	8
308	9
309	8
310	9
311	7
312	9
313	9
314	9
315	9
316	7
317	9
318	9
319	9
320	7
321	8
322	8
323	8
324	9
325	8
326	9
327	9
328	9
329	7
330	9
331	9
332	9
333	8
334	9
335	7
336	9
337	9
338	8
339	6
340	9
341	8
342	7
343	5
344	8
345	7
346	6
347	9
348	9
349	9
350	8
351	9
352	8
353	8
354	8
355	9
356	9
357	7
358	8
359	9
360	9
361	9
362	9
363	8
364	9
365	6
366	9
367	7
368	7
369	8
370	8
371	9
372	8
373	9
374	9
375	9
376	8
377	9
378	9
379	9
380	8
381	9
382	8
383	8
384	9
385	8
386	9
387	9
388	9
389	7
390	9
391	9
392	9
393	5
394	8
395	9
396	8
397	9
398	9
399	9
400	8
401	9
402	8
403	7
404	8
405	9
406	9
407	9
408	6
409	9
410	8
411	7
412	6
413	9
414	9
415	9
416	9
417	8
418	8
419	7
420	9
421	9
422	9
423	6
424	9
425	8
426	4
427	8
428	9
429	7
430	6
431	8
432	8
433	7
434	9
435	9
436	5
437	8
438	9
439	6
440	7
441	9
442	9
443	9
444	9
445	3
446	9
447	8
448	9
449	9
450	9
451	9
452	8
453	8
454	8
455	8
456	9
457	9
458	7
459	9
460	9
461	9
462	8
463	6
464	7
465	9
466	9
467	7
468	6
469	4
470	9
471	9
472	9
473	9
474	9
475	2
476	9
477	8
478	7
479	9
480	8
481	8
482	8
483	9
484	9
485	8
486	7
487	7
488	5
489	8
490	9
491	4
492	9
493	9
494	9
495	8
496	8
497	2
498	8
499	8
500	7
