# PowerBTSApp operation count results
0	0
1	1
25	7
50	8
75	9
100	9
125	12
150	10
175	8
200	11
225	9
250	13
275	15
300	10
325	10
350	10
375	12
400	13
425	7
450	11
475	12
500	12
